,material_tag,concept_tag,concept_slug,material_id,target
129,4,126,potassium,22,0.0117312422074302
130,4,127,ion,22,0.0104183767745535
131,4,128,sodium,22,0.0093451476296526
132,4,129,sodium-channel,22,0.0077880913581995
133,4,130,neuron,22,0.0055617138994757
135,4,131,protein,22,0.0049843198671706
137,4,132,cell-membrane,22,0.0041851948174838
138,4,133,atomic-radius,22,0.0040908971264003
139,4,134,nitrogen,22,0.0031422459945065
140,4,135,sulfur,22,0.0030644312571924
141,4,136,molecule,22,0.0029254231599346
144,4,137,neutron,22,0.0028506872352206
145,4,138,periodic-trends,22,0.0027419244718083
146,4,139,action-potential,22,0.0026228770672736
147,4,140,carbon,22,0.0025028830785182
148,4,141,water,22,0.0023590582643399
149,4,142,carbon-dioxide,22,0.0023123732308928
150,5,143,april-18,61,0.0177419270889806
151,5,144,liberation-front-of-the-slovene-nation,61,0.0110756827879173
152,5,145,ljubljana,61,0.01007131764823
153,5,146,name,61,0.0096036982898455
154,5,147,2009,61,0.0059695367476556
155,5,148,1907,61,0.0054365070237331
156,5,149,1990,61,0.0053501787870034
157,5,150,1927,61,0.005228574799718
158,5,151,1973,61,0.0050689907495607
159,5,152,1932,61,0.0050062138220962
160,5,153,1980,61,0.0050037667927429
161,5,154,1975,61,0.0049845324767601
162,5,155,1979,61,0.0049815487974014
163,5,156,1960,61,0.0049196308659082
164,5,157,1970,61,0.0049168320037637
165,5,158,1965,61,0.0048472667923212
166,5,159,2000,61,0.0048328274476759
167,5,160,slovenia,61,0.0048247957347266
168,5,161,1957,61,0.0048175996604446
169,5,162,1966,61,0.004717093244896
170,5,163,2016,61,0.0046970054365855
171,5,164,1930,61,0.004683308101524
172,5,165,monument,61,0.0046022361197287
173,5,166,1956,61,0.0045854357674947
174,5,167,1920,61,0.0045801792609427
175,5,168,1955,61,0.0045143922297123
176,5,169,2002,61,0.0044778004386999
177,5,170,1950,61,0.0044338763835666
178,5,171,2006,61,0.00442534257273
179,5,172,1912,61,0.0043744656149332
180,5,173,1940,61,0.0042094969797144
181,5,174,1941,61,0.0041043711327327
182,5,175,june-6,61,0.0040404677415026
183,5,176,1913,61,0.00401261667531
184,5,177,2007,61,0.0039762439624428
185,6,178,editions-gallimard,62,0.0157855478681205
186,6,179,bordeaux,62,0.0146452374545846
187,6,180,villefranche-sur-saone,62,0.0143693595491033
